ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA	SEROTYPE	eBG
1217	30	28	31	151	22	69	81		
1218	30	28	31	27	416	376	30		
1219	30	28	31	27	57	29	30		23
1220	30	28	31	333	22	268	30		
1221	30	28	31	473	22	29	30		23
1222	30	358	31	454	22	129	30		
1223	311	287	218	168	316	294	4	Mampong	
1224	312	288	219	275	317	295	291	Sontheim	
1225	312	288	219	450	63	356	376	Jaffna	
1226	312	288	246	410	362	328	346	Omuna	
1227	312	288	246	456	63	328	389	Dortmund	
1228	312	288	249	424	393	358	385	Thayngen	
1229	313	13	15	123	15	19	17	Uganda	157
1230	313	14	98	121	140	19	33	Drogana	
1231	313	20	271	251	2	359	386	Hillsborough	
1232	313	3	130	196	29	207	313	Maska	
1233	313	314	58	396	148	162	330	Gamaba	
1234	313	64	3	396	148	2	330	Gamaba	
1235	314	140	25	391	114	6	4	Garba	
1236	314	291	17	72	320	58	111	Dakar	
1237	315	293	68	365	324	9	293	Havana	
1238	316	90	133	96	329	53	95	Dugbe	
1239	317	77	27	22	331	152	296		
1240	318	77	225	335	92	246	297		
1241	319	75	47	12	14	9	347	Mura	
1242	319	80	8	107	332	300	299	Uno	
1243	32	241	34	296	264	244	237		
1244	320	28	31	27	22	29	300		
1245	321	296	118	371	333	18	18	Milwaukee	
1246	322	297	8	373	332	304	302	Wichita	
1247	323	178	224	374	163	9	234	Tees	
1248	324	31	10	375	36	12	303	Vietnam	
1249	325	10	226	376	335	6	8	Shanghai	
1250	326	71	108	381	12	19	307	Bonames	
1251	327	301	40	382	338	307	309	Etterbeek	
1252	328	160	40	384	340	45	311	Leipzig	
1253	328	4	242	405	184	58	311	Gera	
1254	328	63	48	186	36	35	3	Nima	
1255	329	304	40	367	90	311	316		
1256	33	173	30	26	141	275	28		
1257	33	26	179	55	21	87	28		221
1258	33	26	179	55	276	87	28		221
1259	33	26	202	212	297	87	28		
1260	33	26	30	144	21	145	28		126
1261	33	26	30	144	21	87	134		220
1262	33	26	30	144	21	87	264		220
1263	33	26	30	144	283	229	28		
1264	33	26	30	144	283	87	134		220
1265	33	26	30	180	230	27	28		228
1266	33	26	30	180	246	87	134		223
1267	33	26	30	26	21	87	134		220
1268	33	26	30	26	21	87	308		220
1269	33	26	30	282	21	32	260		
1270	33	26	30	340	21	32	28		225
1271	33	26	30	484	229	87	28		222
1272	33	26	30	55	229	87	28		222
1273	33	26	30	84	21	92	80		10
1274	33	271	30	22	21	279	80		229
1275	33	271	30	340	21	279	80		229
1276	33	352	30	84	283	87	28		
1277	33	378	30	213	131	87	134		227
1278	33	378	30	55	413	87	407		
1279	330	11	16	104	161	71	4	Bergen	
1280	331	230	98	387	341	19	150	Makiso	
1281	332	14	229	389	343	312	317		
1282	333	307	108	14	36	2	319	Solna	
1283	334	308	231	72	41	58	216	Niakhar	
1284	335	176	27	22	18	85	91		
1285	336	4	232	130	346	128	8	Othmarschen	
1286	337	310	218	159	348	315	323	Bron	
1287	338	178	98	349	66	324	102	Aminatu	
1288	339	117	119	402	44	320	196	Christiansborg	
1289	339	117	119	402	44	75	3	Guinea	
1290	340	38	8	403	325	12	8	Harcourt	
1291	341	11	8	404	61	161	341	Cerro	
1292	342	24	28	83	357	26	79		
1293	343	2	18	190	140	300	102	Bere	
1294	344	320	243	252	358	20	342	Sljeme	
1295	345	322	4	196	4	128	343	Langenhorn	
1296	346	4	8	125	84	19	101	Lome	
1297	346	97	8	163	76	19	344	Penarth	
1298	347	325	93	412	363	132	168	Yerba	
1299	348	34	71	49	59	83	4	Dahlem	
1300	349	327	247	415	366	329	348		
1301	349	327	257	415	379	345	363		
1302	349	327	291	415	366	377	363		
1303	35	133	10	128	157	53	381	Stanleyville	
1304	350	196	78	72	33	330	349	Tanger	
1305	351	46	16	441	384	349	368	Chichiri	
1306	351	63	119	104	40	332	4	Kaolack	
1307	352	169	78	417	367	333	272	Rhone	
1308	352	330	78	419	368	334	272	Deversoir	
1309	353	288	249	424	371	337	291	Toronto	
1310	354	14	251	21	114	338	4	York	
1311	355	169	214	42	311	35	82	Coogee	
1312	356	334	253	362	113	9	353	Hindmarsh	
1313	357	118	3	428	4	128	8	Marburg	
1314	358	46	16	432	33	13	4	Toucra	
1315	359	340	224	433	27	153	360	Kaduna	
1316	360	177	98	78	61	9	84	Yoruba	
1317	360	346	129	437	169	346	322	Niamey	
1318	361	327	258	415	366	345	364		
1319	362	345	16	436	41	9	331	Haouaria	
1320	363	25	29	83	386	26	131		
1321	364	25	21	263	48	178	371		
1322	365	350	265	446	387	352	372		
1323	366	35	123	447	33	354	373	Tilburg	
1324	367	112	266	448	138	146	374	Hemingford	
1325	368	233	30	287	252	68	229		230
1326	369	75	90	451	2	357	378	Derby	
1327	37	318	10	399	5	12	2	Detmold	
1328	3	3	7	4	3	3	379	Agona	54
1329	371	194	8	9	29	8	36	Hato	
1330	372	355	93	452	390	197	139	Kingston	
1331	373	356	270	9	391	19	380	Kingston	
1332	373	48	43	467	402	7	139	Banana	
1333	374	288	219	453	63	328	382	Azteca	
1334	375	4	78	163	84	19	383	Yovokome	
1335	376	288	272	424	394	295	291	Ottawa	
1336	377	360	273	455	5	153	388	Wuppertal	
1337	378	286	30	55	21	87	28		
1338	379	350	275	457	387	352	391		
1339	380	288	276	458	240	360	392		
1340	381	350	277	459	397	352	394		
1341	382	286	30	460	283	87	28		
1342	383	365	30	212	21	353	28		
1343	384	221	278	315	92	361	230		
1344	385	221	81	81	400	246	399		
1345	386	4	281	466	305	97	100	Breukelen	None
1346	387	371	27	465	18	367	25		
1347	388	104	17	42	9	116	4	Marshall	
1348	389	225	166	482	270	374	408		
1349	389	373	166	320	404	251	244		
1350	39	116	16	254	383	45	57	Harburg	
1351	39	117	25	392	184	35	57	Othmarschen	
1352	39	142	17	346	337	58	4	Treforest	171
1353	39	153	260	72	36	165	366	Abidjan	
1354	39	165	8	439	39	53	22	Southbank	
1355	39	302	79	386	95	308	312	Stratford	
1356	39	326	101	33	169	9	158	Bergen	
1357	39	338	93	429	36	343	48	Corvallis	
1358	39	35	93	247	376	9	149	Oranienburg	
1359	39	376	68	72	407	63	401	Chicago	
1360	39	63	25	254	33	58	352	Lindern	
1361	39	64	8	125	76	90	344	Ayinde	
1362	390	225	166	320	270	251	244		
1363	391	374	22	469	405	9	217	Fyris	
1364	392	154	127	471	408	369	402	Lattenkamp	
1365	393	377	285	472	248	370	403		
1366	394	26	30	360	21	87	28		
1367	395	301	40	474	410	307	404	Winston	
1368	396	117	36	33	2	372	405	Nagoya	
1369	397	380	121	99	411	39	2	Oslo	
1370	397	380	121	99	411	9	406	Oslo	
1371	398	86	90	20	2	173	303	Monschaui	
1372	399	77	27	22	18	373	25		
1373	4	4	40	96	94	53	298	Agoueve	
1374	4	75	10	96	8	188	328	Godesberg	
1375	400	78	29	481	20	50	78		
1376	401	383	290	485	415	375	409		
1377	402	384	38	16	33	35	410	Farmsen	
1378	403	22	171	289	277	24	245		
1379	404	22	27	289	18	237	91		
1380	405	176	77	258	18	85	25		
1381	41	299	15	46	336	306	305	Kirkee	
1382	41	311	10	220	349	188	7	Godesberg	
1383	41	323	3	243	360	9	216	Fresno	
1384	41	332	79	62	28	14	96	Inverness	
1385	41	336	255	12	375	12	356	Skansen	
1386	41	36	8	20	95	108	325	Agbeni	235
1387	41	64	3	370	8	7	22	Vom	
1388	42	14	17	41	33	36	41	Miami	111
1389	42	169	286	16	12	23	4	Abaetetuba	
1390	42	63	25	113	385	350	4	Banjul	
1391	43	357	8	215	39	7	84	Yovokome	
1392	43	41	16	85	40	58	3	Haelsingborg	203
1392	43	41	16	85	40	58	3	Oranienburg	203
1393	45	12	15	372	140	303	21	Sudan	
1394	46	201	146	9	6	19	1	Shubra	
1395	46	210	18	88	118	317	329	Korovi	
1396	47	71	8	464	8	19	397	Haduna	
1397	5	112	40	78	39	316	97	Adeoyo	
1398	5	13	8	196	334	9	234	Llandoff	
1399	5	14	3	422	16	19	38	Mendoza	
1400	5	2	3	7	175	6	11	Moscow	4
1401	5	359	68	49	175	9	387	Diogoye	
1402	5	362	274	401	5	123	390	Taset	
1403	50	11	16	16	388	19	4	Soumbedioune	
1404	50	208	279	141	403	71	186	Banana	
1405	50	7	8	121	124	12	307	Leoben	
1406	52	18	40	409	361	58	298	Kahla	
1407	52	315	40	16	184	320	331	Tornow	
1408	52	46	25	378	12	83	298	Frankfurt	
1409	52	90	36	279	165	301	41	Enugu	
1410	56	24	28	83	20	26	78		
1411	56	24	29	24	356	26	340		
1412	56	25	240	307	272	252	27		
1413	56	25	28	24	355	26	27		
1414	56	25	29	83	79	252	78		
1415	56	343	28	24	380	86	79		
1416	6	14	26	399	8	9	38	Michigan	
1417	6	2	10	196	327	153	294	Tilburg	
1418	6	317	10	44	352	321	336	Irumu	
1419	61	294	25	194	136	45	126	Waycross	
1420	62	309	54	393	89	9	48	Kouka	
1421	64	252	27	68	55	67	59		
1422	65	248	29	308	129	50	246		218
1423	65	248	29	487	129	50	246		218
1424	65	25	173	288	253	26	51		
1425	65	25	28	445	253	26	78		
1426	65	25	29	312	20	50	250		
1427	65	25	292	24	293	26	78		
1428	65	78	29	24	293	26	60		
1429	65	78	29	286	251	234	51		
1430	65	78	29	336	20	50	60		
1431	65	78	29	69	271	50	51		
1432	7	107	79	235	192	193	22	Tornow	181
1433	7	14	8	8	7	8	13	Senftenberg	55
1434	73	35	68	16	63	75	65	Kingston	68
1435	73	35	68	275	63	75	65	Kingston	68
1436	75	14	10	390	89	313	22	Chagoua	
1437	75	14	18	110	325	7	72	Meskin	
1438	75	14	18	110	399	2	13	Tilene	
1439	75	14	224	110	325	2	72	Anfo	
1440	75	303	8	14	325	309	313	Mbao	174
1441	75	303	8	14	8	309	313	Diourbel	174
1442	75	361	224	172	325	7	8	Maastricht	
1443	75	38	18	17	325	221	314	Landau	
1444	75	38	8	110	325	310	315	Mgulani	
1445	75	73	3	461	8	196	48	Schoeneberg	
1446	82	319	241	127	354	325	22	Vleuten	179
1447	82	319	241	127	395	325	22	Vleuten	179
1448	82	382	241	127	15	325	22	Muguga	
1449	83	11	267	72	337	58	4	Morehead	
1450	83	294	40	21	184	319	48	Bijlmer	
1451	83	83	16	13	161	322	4	Roodepoort	
1452	84	127	25	197	40	13	4	Onderstepoort	
1453	84	140	25	85	33	35	4	Ibadan	
1454	84	292	25	362	35	168	4	Bambylor	
1455	84	323	68	412	392	123	373	Sambre	
1456	84	342	256	435	378	182	362	Fluntern	
1457	84	344	8	132	38	9	161	Sinthia	
1458	84	76	25	197	12	13	4	Onderstepoort	
1459	84	83	25	13	33	322	23	Lovelace	
1460	84	83	25	85	13	193	4		
1461	88	255	30	55	21	87	80		10
1462	88	26	30	212	21	87	259		
1463	88	26	30	322	21	353	80		
1464	88	26	30	322	283	145	28		
1465	88	26	30	55	21	87	242		10
1466	95	22	27	22	18	85	25		
1467	95	245	27	359	313	184	289		
1468	95	77	27	380	258	24	306		
1469	95	82	27	305	18	85	25		
1470	96	221	72	92	78	233	76		
1471	96	221	81	92	78	99	377		
1472	96	234	172	81	85	232	230		
1473	96	234	201	281	295	99	221		
1474	96	258	81	92	243	262	230		
1475	99	117	287	477	412	321	120	Tiergarten	
1476	99	137	120	116	144	2	120	Kapemba	180
1477	99	175	46	11	14	180	1	Stockholm	172
1478	99	328	8	17	5	9	16	Tanzania	
1479	5	2	294	7	6	6	11	Enteritidis	4
1480	92	187	8	262	95	6	210		
1481	17	2	15	124	8	2	18		
1482	409	4	4	62	420	128	8	Pontypridd	
1483	2	8	10	17	6	19	418	Abony	
1484	92	86	78	490	88	97	88		
1485	100	92	84	97	98	380	98	Schleissheim	76
1486	408	92	84	97	419	104	417	Schleissheim	
1487	410	2	3	6	5	5	10	Dublin	53
1488	43	31	16	42	35	13	111	Montevideo	40
1489	43	31	16	13	34	13	4	Montevideo	40
1490	412	204	8	247	216	6	194	Montevideo	208
1491	201	204	8	247	216	6	194	Montevideo	208
1492	411	41	18	13	12	13	4	Montevideo	40
1493	201	41	16	42	35	13	111	Montevideo	40
1494	5	2	3	491	5	5	10	Dublin	53
1495	3	36	43	38	16	32	38	Saintpaul	209
1496	10	61	18	67	15	12	12	Newport	3
1498	14	13	43	17	96	19	17	Wandsworth	
1499	2	59	23	64	38	19	12		34
1501	136	90	40	94	329	101	95	Glostrup	
1502	166	386	79	216	312	53	416		
1504	203	133	25	215	76	74	95	Fanti	
1505	221	26	185	309	274	253	247		
1506	353	389	295	492	421	295	291	India	
1507	406	183	8	216	417	79	413	Oranienburg	
1508	407	4	40	96	418	379	36	Oranienburg	
1509	41	179	131	219	20	9	18	Oakland	207
1510	41	86	215	358	89	109	48	Oranienburg	
1511	413	15	8	128	71	185	419	Carno	
1512	43	41	16	85	12	58	3	Oranienburg	203
1513	43	41	49	16	40	58	3	Oranienburg	203
1514	49	11	25	489	12	15	4	Oranienburg	50
1515	50	63	25	72	59	292	63	Oranienburg	44
1516	50	63	25	72	59	71	414	Oranienburg	44
1517	10	391	8	494	216	132	172	Oranienburg	
1518	11	41	25	42	34	58	4	Montevideo	39
1519	110	177	298	254	36	45	4	Lika	
1520	111	109	17	149	12	13	23	Pomona	16
1521	13	169	16	21	12	13	422	Caracas	
1522	13	76	16	15	12	15	4	Oranienburg	41
1523	13	76	296	15	12	15	4	Oranienburg	41
1524	189	70	152	132	34	9	421	Havana	234
1525	39	37	78	75	39	182	106	Havana	
1526	4	4	297	20	2	384	210	Havana	
1527	41	36	40	20	95	108	325	Havana	235
1528	41	42	299	58	9	12	423	Muenchen	8
1529	41	42	43	58	424	12	2	Muenchen	8
1530	41	42	43	58	425	12	2	Muenchen	8
1531	411	41	16	13	12	13	4	Montevideo	40
1532	414	49	78	75	39	182	106	Havana	
1533	415	187	8	43	76	9	109	Havana	
1535	43	41	16	42	34	13	4	Montevideo	40
1536	43	41	16	42	35	13	420	Montevideo	40
1537	43	41	16	42	423	13	4	Montevideo	40
1538	43	41	16	493	40	382	3	Oranienburg	203
1539	5	2	3	6	5	383	10	Dublin	53
1540	9	390	6	7	9	12	2	Manhattan	27
1541	197	187	10	234	8	65	22		236
1541	197	187	10	234	8	65	22	Corvallis	236
1542	140	392	40	11	140	180	18		
1542	140	392	40	11	140	180	18	Lexington	
1543	417	4	15	262	95	9	141		
1543	417	4	15	262	95	9	141	Bredeney	
1543	417	4	15	262	95	9	141	Kedougou	
1544	10	7	12	230	5	9	2		1
1544	10	7	12	230	5	9	2	Typhimurium	1
1545	41	4	23	14	16	19	140		32
1546	41	393	79	490	76	169	177		
1547	60	12	17	16	13	16	4		17
1548	10	14	15	495	25	20	33		65
1549	347	394	78	496	426	9	102		
1550	16	16	12	18	8	12	18		29
1551	25	77	27	22	18	131	24		
1552	419	2	3	6	5	5	10	Dublin	53
1553	50	63	25	72	59	71	424	Oranienburg	44
1556	74	7	12	9	5	9	13	Typhimurium	1
1557	10	395	12	9	5	9	2	Typhimurium	1
1558	5	2	3	497	6	6	11	Enteritidis	4
1560	2	14	24	14	2	19	140		5
1561	418	14	224	499	89	313	2		
1562	2	4	40	43	66	2	425		
1563	11	10	302	42	40	13	4	Sandiego	49
1564	11	14	10	500	5	10	14	Colindale	
1565	118	4	8	106	2	117	22	Tennessee	
1566	13	109	303	157	12	13	4	Johannesburg	38
1567	41	42	43	501	9	12	2	Muenchen	8
1568	420	10	25	42	40	13	4	Sandiego	49
1569	421	105	23	14	38	7	102	Kottbus	63
1570	422	63	119	186	36	35	426		
1571	423	6	70	8	7	79	13	Senftenberg	69
1572	5	2	301	6	5	5	10	Dublin	53
1573	13	34	71	80	59	83	427	Luciana	170
1574	2	15	304	138	130	139	12	Hartford	169
1575	42	11	48	149	12	13	4	Rubislaw	204
1576	43	41	16	493	40	58	3	Oranienburg	203
1577	2	14	24	14	428	19	8	Paratyphi_B	5
1578	46	396	23	14	16	54	56		242
1578	46	396	23	14	16	54	56	Paratyphi_B	242
1579	309	395	287	209	426	197	419	Typhimurium	
1580	14	56	304	209	84	365	423	Typhimurium	
1581	72	32	36	33	429	79	209	Decatur	
1582	20	4	305	14	16	19	18	Paratyphi_B	32
1583	17	8	3	14	97	19	14		95
1584	408	92	84	97	430	104	98	Schleissheim	
1585	19	20	298	20	90	22	22	Derby	
1586	10	19	6	9	5	9	2		1
1587	173	349	43	128	61	58	428	Gnesta	
1588	20	4	23	14	16	385	18		32
1589	46	55	23	502	16	54	56		242
1589	46	55	23	502	16	54	56	Paratyphi_B	242
1590	105	117	8	78	5	9	2	Oranienburg	241
1591	39	41	25	74	431	13	3	Oranienburg	52
1592	13	11	16	503	12	15	63	Oranienburg	
1593	222	105	46	123	225	115	115	Bredeney	
1596	111	47	49	16	40	35	3	Bredeney	240
1602	59	70	93	78	113	6	68	Mbandaka	62
1604	426	399	68	21	136	83	432	Saphra	
1605	2	29	33	17	5	30	12		
1606	41	42	299	58	9	12	2	Muenchen	8
1607	50	80	25	85	432	58	4	Gaminara	245
1608	10	400	18	153	8	9	22	Bareilly	233
1609	118	107	8	505	2	117	16	Tennessee	238
1610	92	14	18	506	6	386	14	Ouakam	
1610	92	14	18	506	6	386	14	Tennessee	
1611	15	70	93	78	113	387	68	Mbandaka	62
1612	10	129	18	153	8	9	22	Bareilly	233
1614	50	402	25	72	59	292	63	Oranienburg	44
1615	2	7	9	9	434	9	12	Heidelberg	26
1618	45	4	8	44	140	9	8	Paratyphi_A	11
1619	2	14	24	14	2	130	8	Paratyphi_B	5
1620	10	60	58	66	125	65	16	London	237
1621	186	35	78	510	39	182	435	Havana	
1622	41	179	131	219	8	9	18	Oakland	207
1626	42	11	48	149	11	13	4	Rubislaw	204
1628	46	60	10	9	6	12	17	Reading	
1630	51	45	43	50	42	43	45	Stanleyville	
1632	5	2	307	7	6	6	11	Enteritidis	4
1633	5	2	3	7	6	390	11	Enteritidis	4
1634	380	404	276	511	240	360	208		
1635	16	2	45	43	36	391	42	Newport	2
1636	247	225	166	304	270	251	255		
1637	161	163	96	178	155	12	142	Napoli	60
1638	110	190	25	441	184	45	102	Togba	
1639	428	148	308	418	437	9	87	Barranquilla	
1640	84	405	309	512	438	322	137	Nottingham	
1641	198	148	142	513	1	2	181	Chincol	
1642	260	176	27	514	18	231	174		
1643	42	406	310	515	439	35	438	Fischerhuette	
1644	429	104	25	85	33	322	4	Sarajane	
1645	430	288	249	424	440	392	439	Sarajane	
1646	431	407	3	516	441	46	135	Duisburg	
1647	10	7	12	517	112	9	2	Typhimurium	1
1649	10	7	12	518	5	9	2	Typhimurium	1
1650	10	7	12	9	112	9	440	Typhimurium	1
1651	10	7	12	9	5	393	2	Typhimurium	1
1652	18	7	128	9	39	9	166	Typhimurium	243
1653	10	408	12	9	5	9	2	Typhimurium	1
1654	10	7	12	9	5	9	17	Typhimurium	1
1656	46	409	98	20	206	9	67	Putten	
1657	15	70	312	78	113	6	68	Mbandaka	62
1658	41	42	299	18	9	12	2		8
1659	417	216	8	163	29	207	86	Soerenga	
1660	42	11	48	149	59	13	4	Rubislaw	204
1662	17	4	15	500	442	9	151		
1663	18	14	313	519	5	18	21	Typhimurium	
1664	17	7	35	9	443	9	14	Typhimurium	79
1666	136	133	40	350	2	7	95	Agama	167
1667	41	133	271	183	139	157	148	Wagenia	
1668	3	3	7	4	444	3	7	Agona	54
1669	208	105	23	14	38	7	102	Kottbus	63
1670	5	14	21	9	6	64	17	Saintpaul	14
1671	23	22	300	22	85	353	25		
1672	100	92	314	97	98	395	98	Budapest	
1673	5	2	3	6	5	5	2	Dublin	53
1674	13	12	17	520	13	16	4		17
1674	13	12	17	520	13	16	4	Javiana	17
1675	13	11	315	15	12	15	4	Oranienburg	41
1676	147	13	15	123	15	9	17	Uganda	157
1677	11	41	55	42	34	58	12	Montevideo	39
1679	76	70	68	247	64	9	67	Kentucky	
1680	76	411	3	77	64	64	67	Kentucky	56
1681	10	19	12	9	90	9	2		1
1682	10	7	12	9	5	9	22		1
1683	10	7	12	11	5	9	2		1
1684	10	19	12	9	5	281	2		1
1685	5	2	3	7	6	387	11		4
1686	10	7	12	9	5	9	286		1
1687	7	11	25	197	12	71	4	Minnesota	77
1689	408	92	317	97	419	104	98	Schleissheim	
1690	10	189	43	12	190	20	18	Newport	154
1691	13	63	3	197	6	6	11	Enteritidis	
1692	14	107	43	156	64	151	87	Typhimurium	
1693	14	13	12	156	5	151	2	Rissen	
1694	10	14	15	121	25	20	33	Anatum	65
1695	5	2	316	7	6	399	11		4
1696	118	107	8	51	2	20	16		238
1697	15	70	93	78	113	6	11		62
1698	2	2	15	14	190	20	12		7
1699	10	60	58	66	6	65	12		237
1700	117	414	15	33	38	20	17	Forges	
1701	203	415	48	13	12	402	137	Trumersee	
1702	5	2	3	522	6	6	11		4
1703	182	413	10	196	39	173	446		
1704	434	416	131	523	402	109	447	Pajala	
1705	14	194	318	218	6	9	101	Chapuri	
1706	346	3	98	524	2	319	101	Baltimore	
1707	435	115	3	130	445	128	370	Landeskrone	
1708	6	13	98	379	2	19	338	Rosslyn	
1709	173	4	233	96	446	108	101	Parabiago	
1710	304	104	25	402	2	285	277	Durance	
1711	312	288	319	450	362	328	382	Santaclara	
1712	383	417	320	525	447	403	448	Capetown	
1714	83	80	25	164	12	9	450	Mali	
1715	110	127	17	13	33	23	451	Bergerac	
1716	13	12	25	526	28	9	4	Salpetriere	
1717	436	4	8	159	189	404	95	Zollikerberg	
1718	14	419	47	20	179	405	452	Yverdon	
1719	100	92	84	244	98	395	98	Nuorikkala	
1720	14	75	321	43	5	7	453	Gostenhof	
1721	437	273	40	94	449	101	454	Owerri	
1722	41	46	322	20	6	316	455	Braeswood	
1723	13	224	40	42	12	23	23	Saintes	
1724	438	90	323	183	139	53	41	Perrosguirec	
1725	318	420	188	527	85	84	456		
1726	220	221	324	81	243	406	412		
1727	25	82	325	22	18	85	25		
1728	25	77	192	22	18	407	222		
1729	229	77	80	465	277	367	25		
1730	247	225	166	276	450	374	408		
1731	88	26	30	26	21	87	457		
1732	30	28	326	151	22	29	30		
1733	380	13	276	528	240	408	208		
1734	439	28	31	151	22	29	30		
1735	440	421	10	529	451	116	216	Bruxelles	
1736	441	422	68	412	213	132	272	Tilburg	
1737	84	11	25	42	452	6	4	Souza	
1738	84	11	3	243	453	409	303	Widemarsh	
1739	4	36	8	163	206	83	458	Widemarsh	
1740	255	26	30	282	21	87	28		
1741	33	26	30	25	21	27	28		
1742	88	26	327	213	21	229	28		
1743	442	288	249	424	454	410	291	Viikki	
1744	19	73	15	7	5	6	22		
1745	19	73	12	9	8	9	11		
1746	10	7	12	9	6	9	2	Typhimurium	1
1747	5	2	12	7	6	6	11	Enteritidis	4
1748	10	7	12	9	5	9	8	Typhimurium	1
1749	14	7	18	12	14	18	1	Thompson	28
1750	75	67	10	17	15	9	14	Virchow	70
1751	71	65	143	75	73	9	64	Senftenberg	30
1752	36	31	35	14	73	8	8	Choleraesuis	6
1753	36	31	35	8	26	34	8	Choleraesuis	6
1754	10	7	16	42	5	9	2	Typhimurium	1
1755	84	11	3	7	40	71	4	Give	
1756	39	35	8	75	29	9	36	Derby	244
1760	312	90	328	530	76	337	291	Ashford	
1761	150	423	153	531	455	146	166	Wembleypark	
1762	127	90	40	361	76	100	126	Noho	
1763	75	2	18	110	325	310	459	Elmdon	
1764	13	140	17	16	456	322	460	Torbay	
1765	443	86	40	532	61	58	461	Colchester	
1766	444	110	35	533	140	74	105	Sandbanks	
1767	93	110	18	534	164	9	3	Cork	
1768	111	47	49	16	41	411	4	Bredeney	33
1769	152	424	108	535	5	74	462	Frimley	
1770	2	157	44	536	163	9	463	Goodmayes	
1772	25	77	27	22	18	85	91		
1773	37	20	330	62	115	221	22	Poole	
1774	173	413	8	538	457	412	465	Carshalton	
1775	61	46	25	183	9	45	368	Coppettswood	
1776	10	19	12	9	5	9	466	Typhimurium	1
1777	10	7	12	9	458	9	2	Typhimurium	1
1778	10	7	12	9	84	9	2	Typhimurium	1
1779	10	19	12	9	84	9	2	Typhimurium	1
1780	10	19	12	9	5	413	2	Typhimurium	1
1781	18	14	12	9	5	18	2	Typhimurium	138
1782	10	7	12	9	5	9	9	Typhimurium	1
1783	14	13	18	205	14	18	2	Derby	
1785	18	14	12	123	5	18	3	Typhimurium	
1786	10	60	58	9	6	9	16	Stanley	
1790	10	187	12	234	5	9	2	Typhimurium	1
1791	10	19	12	9	5	9	15	Typhimurium	1
1792	14	210	8	14	38	19	102		
1793	5	14	108	12	5	14	58		35
1794	5	85	79	88	76	95	85	Tananarive	
1795	16	16	20	18	8	12	11		29
1796	104	100	54	78	104	74	48		45
1797	130	2	25	125	84	9	101		205
1798	140	392	40	125	140	9	18		
1799	202	4	10	33	90	6	275		
1800	202	20	10	33	3	6	275		
1801	10	7	21	12	15	12	23		3
1802	10	7	21	12	15	12	467		3
1803	5	2	3	381	6	6	11		4
1805	18	7	128	9	39	9	322	Typhimurium	243
1807	84	161	8	75	206	197	172	Kentucky	
1808	7	6	8	8	7	12	13		55
1809	5	320	3	7	6	6	11		4
1810	11	10	25	13	40	13	4		49
1811	127	133	25	33	8	149	468	Harrow	
1812	95	353	27	53	55	414	375		
1813	288	77	27	167	18	415	236		
1814	2	13	10	540	459	416	34	Salford	
1815	14	2	331	7	105	19	12	Mikawasima	
1816	5	2	332	38	460	5	10	Dublin	
1817	2	5	8	7	5	7	12		22
1818	189	193	8	539	64	9	185	Altona	
1822	16	2	61	43	36	417	42	Newport	2
1823	14	178	3	12	5	171	143	Infantis	
1824	17	18	22	17	462	21	19	Infantis	31
1825	17	18	22	17	5	21	469	Infantis	31
1826	72	4	36	33	62	74	3	Decatur	144
1827	446	31	35	14	26	40	8	Paratyphi_C	20
1828	48	31	35	14	26	52	470	Paratyphi_C	20
1830	88	26	30	55	21	87	471		10
1831	50	10	25	13	10	421	4	Reading	
1832	43	41	25	42	12	13	23	Othmarschen	
1833	100	92	84	97	463	104	98	Schleissheim	
1834	13	426	274	46	5	422	84	Keurmassar	
1835	2	427	40	43	66	423	425	Thompson	
1836	202	428	102	544	100	424	472	Rissen	
1837	41	14	336	545	5	142	104	Narashino	
1838	46	122	3	18	6	138	1		
1839	448	245	333	292	296	418	76		
1840	385	234	81	542	221	233	240		
1841	447	425	334	68	296	419	76		
1842	449	425	335	541	461	420	76		
1843	64	252	337	53	55	67	49		
1844	88	26	30	84	21	32	80		10
1845	88	26	30	84	21	92	80		10
1846	33	271	30	282	21	87	473		
1847	29	286	30	84	21	275	474		
1848	33	26	30	144	464	87	134		220
1849	145	26	30	144	21	87	475		
1850	88	26	30	546	21	87	80		10
1851	33	378	30	282	21	28	134		
1853	161	163	338	178	155	12	142	Napoli	60
1854	88	26	339	55	21	425	28		
1855	33	26	30	25	230	27	28		
1856	1	1	340	1	1	1	5	Typhi	13
1859	10	3	312	51	36	109	2		
1861	450	14	253	547	466	7	16		
1863	215	12	3	7	5	6	11	Enteritidis	
1864	93	135	26	370	36	78	70		
1865	115	175	8	115	8	116	2		
1866	10	60	21	125	8	7	182		
1867	60	429	17	16	13	16	4		17
1868	15	14	341	8	7	19	18		
1869	30	28	31	27	467	29	476		
1870	10	59	23	549	38	9	477		
1871	10	7	20	9	5	7	18		
1872	45	4	35	119	27	56	8		
1873	16	347	146	219	8	9	2		
1874	16	2	8	18	8	9	339		
1875	33	26	30	282	21	87	473		
1876	451	26	30	84	21	92	80		10
1877	452	26	30	144	131	145	134		
1878	88	26	30	55	470	68	471		
1879	5	14	3	7	6	6	11	Enteritidis	4
1880	255	26	30	282	21	229	28		
1881	88	255	30	55	21	68	471		
1883	111	109	17	149	41	221	23	Pomona	16
1885	14	72	21	12	6	19	478		61
1886	14	13	18	550	14	18	1		28
1887	445	251	80	22	55	184	240		
