ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA	SEROTYPE	eBG
146	48	31	35	14	26	40	8	Paratyphi_C	20
147	48	31	35	14	26	44	47	Agona	20
147	48	31	35	14	26	44	47	Typhisuis	20
148	2	59	23	64	38	62	12	Bovismorbificans	34
149	2	14	24	14	49	19	8	Paratyphi_B	5
150	61	12	10	65	54	63	57	Bovismorbificans	
150	61	12	10	65	54	63	57	Hiduddify	
151	62	53	54	60	5	64	54	Kentucky	15
152	62	53	54	60	5	53	54		15
152	62	53	54	60	5	53	54	Kentucky	15
155	10	60	58	66	6	65	16		237
155	10	60	58	66	6	65	16	London	237
156	63	14	6	12	5	14	58	Newport	35
157	10	61	21	12	15	12	12	Newport	3
158	10	62	21	67	15	12	12	Newport	3
159	10	7	12	9	5	66	2	Typhimurium	1
160	65	25	29	69	48	26	60		
161	33	26	30	55	56	68	61		
162	30	28	31	57	57	69	30		
163	16	2	60	43	36	39	42	Newport	2
164	16	2	45	70	36	39	42	Newport	2
165	10	7	21	14	58	12	12	Newport	3
166	5	14	6	12	5	14	58	Newport	35
167	16	2	61	71	36	39	42	Newport	2
168	66	2	3	7	6	6	11	Enteritidis	4
169	50	63	25	72	59	71	62	Oranienburg	44
170	41	42	62	58	9	12	2	Muenchen	8
171	67	10	17	73	9	9	4	Miami	
172	68	2	3	7	5	6	10	Enteritidis	93
173	69	42	43	58	9	12	2	Muenchen	8
174	50	63	25	72	59	71	63	Oranienburg	44
175	13	12	63	16	13	72	4	Javiana	17
176	41	42	64	12	9	12	2	Muenchen	8
177	41	42	65	58	9	12	2	Muenchen	8
178	5	15	66	46	5	6	22	Muenchen	
179	39	41	25	74	40	13	3		52
179	39	41	25	74	40	13	3	Oranienburg	52
180	41	2	3	7	5	6	10	Dublin	93
180	41	2	3	7	5	6	10	Enteritidis	93
181	70	7	10	10	2	10	14	Virchow	9
182	16	16	20	18	8	73	18	Stanley	29
183	5	2	3	7	60	6	11	Enteritidis	4
184	10	64	21	14	15	12	33	Newport	3
185	71	65	67	75	61	9	64	Dessau	30
185	71	65	67	75	61	9	64	Senftenberg	30
185	71	65	67	75	61	9	64	Uccle	30
185	71	65	67	75	61	9	64	Westhampton	30
186	72	32	10	33	62	74	3	Decatur	144
187	16	43	45	43	36	39	12	Newport	2
188	2	7	15	14	15	39	12	Newport	7
189	16	2	45	14	36	39	42	Newport	2
190	16	2	40	43	36	19	42	Newport	2
191	2	2	15	14	15	20	42	Newport	7
192	73	66	68	76	63	75	65	Senftenberg	68
193	10	2	21	14	15	20	12	Newport	3
194	12	2	69	14	11	14	16	Braenderup	24
195	43	41	16	13	12	13	4	Montevideo	40
196	74	6	70	8	7	76	13	Senftenberg	69
197	75	67	10	17	15	9	66	Virchow	70
198	76	14	3	77	64	64	67		56
198	76	14	3	77	64	64	67	Kentucky	56
198	76	14	3	77	64	64	67	Poeseldorf	56
199	16	2	45	43	65	39	42	Newport	2
200	77	2	15	14	15	20	12	Newport	7
201	16	7	21	14	15	12	42	Newport	3
202	78	68	18	46	66	10	34	Abortusovis	71
203	81	69	36	12	68	12	17	Bareilly	
204	10	7	12	9	5	74	2	Typhimurium	1
205	10	7	12	9	5	46	2	Typhimurium	1
206	15	70	51	78	64	6	68	Mbandaka	62
208	82	38	26	12	27	78	70	Ohio	72
210	74	6	70	8	7	79	13	Senftenberg	69
211	10	7	21	12	15	12	71	Newport	3
212	10	71	21	12	15	20	18	Kottbus	64
213	10	7	12	9	70	9	2		1
213	10	7	12	9	70	9	2	Typhimurium	1
214	14	72	21	12	6	19	15	Litchfield	61
216	2	73	41	79	71	65	72	Isangi	25
217	71	65	67	75	73	9	64	Senftenberg	30
217	71	65	67	75	73	9	64	Westhampton	30
221	62	53	54	77	5	53	54	Kentucky	15
223	16	2	61	43	36	39	42	Newport	2
225	83	11	16	13	77	71	4	Gatuni	
226	84	76	38	16	12	13	4	Carrau	131
226	84	76	38	16	12	13	4	Tucson	131
227	13	34	71	80	59	83	4	Luciana	170
228	85	77	72	81	78	84	76		
229	86	77	73	22	18	85	77		
230	87	78	74	82	48	50	60		
231	56	24	75	83	79	86	78		
232	56	25	75	55	80	26	79		
233	88	26	30	55	21	87	80		10
234	33	79	30	84	81	87	28		
235	88	26	30	55	21	87	28		10
236	89	28	31	27	82	88	81		
237	90	28	76	27	83	89	30		
238	11	10	25	13	12	35	4	Arechavaleta	21
239	50	80	25	85	40	58	4	Gaminara	245
240	91	81	8	86	84	90	82	Uppsala	
241	43	47	49	16	41	15	3		33
241	43	47	49	16	41	15	3	Brandenburg	33
241	43	47	49	16	41	15	3	Bredeney	33
241	43	47	49	16	41	15	3	Schwarzengrund	33
242	25	82	77	22	85	91	25		
243	88	26	30	87	21	87	80		10
244	88	26	30	26	21	92	80		10
245	43	83	17	49	12	93	83	Oakland	
246	36	31	35	84	26	6	8	Choleraesuis_var_Kunzendorf	6
247	92	84	36	20	86	94	84	Lexington	
248	5	85	15	88	76	95	85	Tananarive	
249	11	10	13	32	10	13	3	Brandenburg	12
250	2	2	9	7	64	19	86	Potsdam	73
251	93	4	18	89	5	96	87	Abortusequi	18
252	92	86	78	89	88	97	88	Mygdal	
253	29	14	30	26	21	87	28		219
254	20	7	3	62	89	9	12	Kisangani	
255	15	4	18	46	90	9	34	Hessarek	74
256	94	4	18	46	90	9	34	Fulica	74
257	41	4	18	90	5	96	89	Bispebjerg	18
258	6	87	79	91	91	9	90	Tinda	
259	95	82	80	22	85	98	91		
260	10	14	81	92	92	99	92		
261	39	88	15	14	8	10	22	Huettwilen	
262	45	8	82	93	93	7	93	Nakuru	
264	25	14	24	14	37	19	8	Paratyphi_B	5
265	96	14	24	14	37	19	8	Paratyphi_B	5
266	45	14	24	14	37	19	8	Paratyphi_B	5
267	97	14	24	14	37	19	8	Paratyphi_B	5
268	10	89	8	33	94	100	94	Limete	75
269	2	89	8	33	94	100	94	Limete	75
270	2	90	36	94	95	101	95	Canada	
271	2	14	40	95	96	102	96	Canada	
272	2	91	83	96	39	103	97	Uppsala	
273	2	8	3	14	97	19	14	Abony	95
274	41	92	84	97	98	104	98	Abony	76
275	60	11	17	13	33	105	4	Abony	
276	24	22	27	22	18	24	99	salamae	214
277	98	93	85	98	42	9	22	Wagenia	
